Attacker: Gao_Zhen_Bo, Target: 32, Attacked Model: ArcFace, Attack Mode: dodge, Prob: 0.3385036289691925, Loss: 0.322992742061615, Success Rate: 0.6511628031730652
Attacker: Gao_Zhen_Bo, Target: 32, Attacked Model: CosFace, Attack Mode: dodge, Prob: 0.09311521053314209, Loss: 0.8137695789337158, Success Rate: 0.9069767594337463
Attacker: Gao_Zhen_Bo, Target: 32, Attacked Model: FaceNet, Attack Mode: dodge, Prob: 0.033778004348278046, Loss: 0.9324439764022827, Success Rate: 1.0
Attacker: Jiang_Cheng_Pu, Target: 64, Attacked Model: ArcFace, Attack Mode: dodge, Prob: 0.1434549242258072, Loss: 0.713090181350708, Success Rate: 0.7599999904632568
Attacker: Jiang_Cheng_Pu, Target: 64, Attacked Model: CosFace, Attack Mode: dodge, Prob: 0.02406952530145645, Loss: 0.9518609642982483, Success Rate: 0.9800000190734863
Attacker: Jiang_Cheng_Pu, Target: 64, Attacked Model: FaceNet, Attack Mode: dodge, Prob: 0.04201139882206917, Loss: 0.9159771800041199, Success Rate: 0.9200000166893005
Attacker: Liu_Hui_Sen, Target: 91, Attacked Model: ArcFace, Attack Mode: dodge, Prob: 0.12418615072965622, Loss: 0.7516276836395264, Success Rate: 0.8999999761581421
Attacker: Liu_Hui_Sen, Target: 91, Attacked Model: CosFace, Attack Mode: dodge, Prob: 0.014050979167222977, Loss: 0.9718980193138123, Success Rate: 1.0
Attacker: Liu_Hui_Sen, Target: 91, Attacked Model: FaceNet, Attack Mode: dodge, Prob: 0.012318075634539127, Loss: 0.9753638505935669, Success Rate: 1.0
Attacker: Sun_Run_Geng, Target: 131, Attacked Model: ArcFace, Attack Mode: dodge, Prob: 0.16025733947753906, Loss: 0.6794853210449219, Success Rate: 0.8400000333786011
Attacker: Sun_Run_Geng, Target: 131, Attacked Model: CosFace, Attack Mode: dodge, Prob: 0.005200583953410387, Loss: 0.98959881067276, Success Rate: 1.0
Attacker: Sun_Run_Geng, Target: 131, Attacked Model: FaceNet, Attack Mode: dodge, Prob: 0.012649030424654484, Loss: 0.9747019410133362, Success Rate: 1.0
Attacker: Sun_Tian_Yi, Target: 132, Attacked Model: ArcFace, Attack Mode: dodge, Prob: 0.07014171779155731, Loss: 0.859716534614563, Success Rate: 0.9200000166893005
Attacker: Sun_Tian_Yi, Target: 132, Attacked Model: CosFace, Attack Mode: dodge, Prob: 0.0012442490551620722, Loss: 0.9975115060806274, Success Rate: 1.0
Attacker: Sun_Tian_Yi, Target: 132, Attacked Model: FaceNet, Attack Mode: dodge, Prob: 0.00637846440076828, Loss: 0.9872430562973022, Success Rate: 1.0
Attacker: Tang_Xiang_Yun, Target: 135, Attacked Model: ArcFace, Attack Mode: dodge, Prob: 0.1310311108827591, Loss: 0.7379378080368042, Success Rate: 0.7872340679168701
Attacker: Tang_Xiang_Yun, Target: 135, Attacked Model: CosFace, Attack Mode: dodge, Prob: 0.005678906105458736, Loss: 0.9886422157287598, Success Rate: 1.0
Attacker: Tang_Xiang_Yun, Target: 135, Attacked Model: FaceNet, Attack Mode: dodge, Prob: 0.06392446160316467, Loss: 0.8721510767936707, Success Rate: 1.0
Attacker: Wang_Huan, Target: 146, Attacked Model: ArcFace, Attack Mode: dodge, Prob: 0.09097732603549957, Loss: 0.8180453777313232, Success Rate: 0.8600000143051147
Attacker: Wang_Huan, Target: 146, Attacked Model: CosFace, Attack Mode: dodge, Prob: 0.009200874716043472, Loss: 0.9815982580184937, Success Rate: 1.0
Attacker: Wang_Huan, Target: 146, Attacked Model: FaceNet, Attack Mode: dodge, Prob: 0.04337804764509201, Loss: 0.9132438898086548, Success Rate: 0.9800000190734863
Attacker: Wang_Ming_Hui, Target: 147, Attacked Model: ArcFace, Attack Mode: dodge, Prob: 0.07865166664123535, Loss: 0.8426966667175293, Success Rate: 0.8181818127632141
Attacker: Wang_Ming_Hui, Target: 147, Attacked Model: CosFace, Attack Mode: dodge, Prob: 0.07315319031476974, Loss: 0.8536936044692993, Success Rate: 0.9318181872367859
Attacker: Wang_Ming_Hui, Target: 147, Attacked Model: FaceNet, Attack Mode: dodge, Prob: 0.01826721802353859, Loss: 0.9634655714035034, Success Rate: 0.9772727489471436
Attacker: Yu_Hao, Target: 151, Attacked Model: ArcFace, Attack Mode: dodge, Prob: 0.20524831116199493, Loss: 0.5895034074783325, Success Rate: 0.8500000238418579
Attacker: Yu_Hao, Target: 151, Attacked Model: CosFace, Attack Mode: dodge, Prob: 0.03426821157336235, Loss: 0.9314635992050171, Success Rate: 1.0
Attacker: Yu_Hao, Target: 151, Attacked Model: FaceNet, Attack Mode: dodge, Prob: 0.3747721016407013, Loss: 0.2504557967185974, Success Rate: 0.30000001192092896
Attacker: Zhang_Jie, Target: 152, Attacked Model: ArcFace, Attack Mode: dodge, Prob: 0.12582877278327942, Loss: 0.7483424544334412, Success Rate: 0.7400000095367432
Attacker: Zhang_Jie, Target: 152, Attacked Model: CosFace, Attack Mode: dodge, Prob: 0.024841753765940666, Loss: 0.9503164887428284, Success Rate: 1.0
Attacker: Zhang_Jie, Target: 152, Attacked Model: FaceNet, Attack Mode: dodge, Prob: 0.015607812441885471, Loss: 0.9687843918800354, Success Rate: 1.0
Attacker: Gao_Zhen_Bo, Target: 2, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.01612774096429348, Loss: -0.9677445292472839, Success Rate: 0.0
Attacker: Gao_Zhen_Bo, Target: 2, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.4908962547779083, Loss: -0.01820749044418335, Success Rate: 0.6744186282157898
Attacker: Gao_Zhen_Bo, Target: 2, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.24062497913837433, Loss: -0.5187500715255737, Success Rate: 0.5116279125213623
Attacker: Gao_Zhen_Bo, Target: 12, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.020817028358578682, Loss: -0.9583659172058105, Success Rate: 0.09302325546741486
Attacker: Gao_Zhen_Bo, Target: 12, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.014291382394731045, Loss: -0.971417248249054, Success Rate: 0.023255813866853714
Attacker: Gao_Zhen_Bo, Target: 12, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.012430489994585514, Loss: -0.9751390218734741, Success Rate: 0.04651162773370743
